ntd_id,legacy_ntd_id,organization_record_id,organization_name
90017,9017,recsNvWvLQwGsoxlE,City of Santa Rosa
90095,9095,recS7Sx95U5wVOaTe,San Diego Association of Governments
90149,9149,rec7ggteJZheTOceq,City of Lompoc
9R02-91005,9R02-062,recWLwvtjXhiVWjKt,Madera County
90256,,rec6z2ivjTxc8Sag3,City of Burbank
90044,9044,recjaoK08lDmhjQga,City of Arcadia
90039,9039,rec5ome04BbA9uf4y,City of Culver City
9R02-91047,9R02-047,recpWBEjXzLHqCjhE,Mendocino Transit Authority
90031,9031,recYgajd92VLqio1p,Riverside Transit Agency
90156,9156,recMM99msxjmc6PPv,City of San Luis Obispo
90196,9196,recDD2rnkl2m7IV8u,Placer County
90205,9205,recaJnArpFEk5QooE,City of Elk Grove
90023,9023,rec00qSzZL8KqiXAo,Long Beach Transit
90261,,reclU04qh7BD3tRBl,City of Covina
90167,9167,recNf2MzwwP5AxcgI,City of Davis
90286,,reccAVEcMntkbh6aY,City of Monterey Park
9R02-91095,9R02-012,reczUcQgqgtMpkpKC,Nevada County
90009,9009,recw3mRsmKDTNnVlT,San Mateo County Transit District
9R02-91008,9R02-048,rec5Q3mEXcHPpQ8bn,Modoc Transportation Authority
9R02-91014,9R02-032,recaUmi7EJdPiG067,City of Rio Vista
90266,,rec7RGXLkG2Wiu9Jk,City of Glendora
9R02-91038,9R02-052,recg4n97mU2hq3yEa,Sierra County Transportation Commission
90035,9035,recS7GnKTcQVX20HE,Gold Coast Transit
90171,9171,recImm5SmW2zq9rMT,City of Santa Clarita
9R02-91000,9R02-018,recSBFiK95hJnJuYx,Amador Regional Transit System
99358,9T20,recNREAcb59OAtwPX,Morongo Band of Mission Indians
90173,9173,recVSX7dwjxAb557T,Transit Joint Powers Authority for Merced County
9R02-91032,9R02-143,recbW86Xrtuw8PhiU,City of Auburn
90026,9026,recZALk4vysuoTVjF,San Diego Metropolitan Transit System
90278,,,
90270,,rec860cgWfE3MaiHw,Los Angeles County
90271,,rec860cgWfE3MaiHw,Los Angeles County
90272,,rec860cgWfE3MaiHw,Los Angeles County
90276,,rec860cgWfE3MaiHw,Los Angeles County
90277,,rec860cgWfE3MaiHw,Los Angeles County
90269,,rec860cgWfE3MaiHw,Los Angeles County
90273,,rec860cgWfE3MaiHw,Los Angeles County
90274,,rec860cgWfE3MaiHw,Los Angeles County
90275,,rec860cgWfE3MaiHw,Los Angeles County
90278,,rec860cgWfE3MaiHw,Los Angeles County
90279,,rec860cgWfE3MaiHw,Los Angeles County
9R02-99442,,recFqVabH8109u70q,Calaveras Transit Agency
A0003-99449,,rec7u9tpBitdht99C,City of El Segundo
A0003-99450,,recr18KcArv7qLV0g,City of Hawaiian Gardens
90267,,rec0mPaKPAdemkyOV,City of Huntington Park
A0003-99451,,recA1biVMpq7hztxb,City of San Fernando
A0003-99447,,reccMql4ZPG9EolVs,City of Sierra Madre
A0003-99443,,reciTODGCFDfpveYS,City of South El Monte
9R02-99454,,recGcv4NidDjwVSiN,Palo Verde Valley Transit Agency
90302,,recQp6uQAUFcenmQ6,San Bernardino County Transportation Authority
90303,,recBiunkSvSVhXa6J,Santa Barbara County Association of Governments
9R02-91119,9R02-005,reccfMGlQeXIrHcad,Plumas Transit Systems
